Study Program,Courses,Description
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Physics M Lab,experiment physics nuclear physics thermodynamics optics experiment experiment measurement faultfinding
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Assembly Design,homework multilevel shaft dimensioning calculation geometry pinion dimension creation design dimensioning calculation calculation drawings
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Electrical Engineering ,electric electric magnetic electrical voltages complex ac circuit analysis network analysis ac transformers
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Language Skills and other Key Competences,international
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Machine Elements 2,machine gears geared bevel geared gears geometry calculation capacity dimensioning design factor epicyclical transformation designing plastics plastics temperature crystallinity recycling machine designing dimensioning gears engineering calculation plastics plastics
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Materials Science 1,sciences science metals ceramics polymers correlation physical ductility corrosion resistance manufacturing weldability deformability cast irons steels heat treatments classification
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Materials Science 1 Lab,experimental testing
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Mathematics M3,integrals divergence operators integral gau solving differential equations linear differential equations periodic fourier solution differential equations
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Mechanics 3 ,mechanical virtual elastostatics unsymmetrical buckling columns
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Thermodynamics 1 ,engineering thermodynamics heat thermodynamics internal thermodynamics entropy gibbs helmholtz vapour refrigeration
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Thermodynamics 1 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Manufacturing,production geometrically objects classification objects metals plastics ceramics wood divides manufacturing moulding forming separation joining coating manufacturing manufacturing manufacturing profitability products manufacturing technique production products innovative technologies protected recycling economy framework
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Metal Physics 1,atomistic crystallographic microstructure metals experimental crystallographic defects crystallographic vacancies binary thermodynamic train practical
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Metal Physics 1 Lab,metallurgical measure analyze means testing practical experiments
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Numerics for Engineers,computer arithmetic algorithms error analysis numerical stability numerical interpolation approximation polynomial interpolation spline interpolation fourier approximation iterative solving linear vector matrix gauss sparse cholesky decomposition eigenvalue eigenvalues matrices eigenvectors matrices singular decomposition pseudoinverse matrices numerical solution nonlinear equations polynomials newton raphson secant numerical definite integrals differential equations ode equations solving stiff differential equations differential algebraic equations index dae
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Physics Chemistry,physical gas gas laws gas kinetic gas gas laws van waals equation liquid mechanical viscosity newtonic newtonic fluids crystalline amorphous mechanical chemical thermodynamics thermodynamics heat perpetuum mobile enthalpie temperature thermodynamics entropy heat engine equations temperature chemical activity activity coefficients kinetics equations reactions temperature thumb activation arrhenius thermodynamics kinetics transitions thermodynamics transitions enthalpies enthalpies equilibria kinetiks transitions metastable catalysis transitions mixed molar parameters solutions colligative phenomena diffusion osmosis distribution equilibria thermodynamics kinetics chemical reactions thermochemistry nernst chemical reactions chemical equilibrium gibbs helmhotz equation chemical equilibrium equilibrium constant chatelier catalysis molecularity
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Testing of Materials,testing static mechanical metallic uniaxial tensile compression charpy testing mechanical metallic fracture mechanics
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Testing of Materials Lab,lab testing metallic lab tensile charpy hartness brinell vickers rockwell utrasonic testing
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Thermodynamics 2,thermodynamics idealized technical chemical thermodynamics heat availability exergy gas gases vapors humid air thermodynamics chemical reactions combustion chemical equilibrium heat
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Thermodynamics 2 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Combustion Science,combustion temperature reactions practical arange energetic combustion synthesis chemical thermodynamics chemical kinetics fluid reactive gas temperature gas reactions radical reactions complex chemical thermodynamics kinetics homogeneous heterogeneous reactions flame phenomena parameters combustion technology theoretical reactive combustion waves homogeneous premixed gases
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Measurement Science and Technology,measurement science technology prerequisites machines plants experimental rsp verification theories measurement science technology signal signal signal measurents signals statistics distribution moments errors data analysis reduction linear nonlinear regression dynamics noise thermal shot telegraph noise analog signal filter amplifier digital signal converter sensors electrical measurements resistive sensors capacitive sensors magnetic sensors sensors labcourse gas curve calibration dynamics analog signal lock amplifier signals noise digital signal conditionin dynamic light scattering correlation distribution
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Metal Physics 2,metal physics physical metallurgical mechanisms diffusion recrystallisation atomistically evolution microstructure solidification metallic melts transformation place solutions explanation physical metals magnetism thermal electrical conductivity atomistic
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Metal Physics 2 Lab,metallurgical measure analyze means testing practical experiments
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Project Management,project project project technical specification tools project project implementation project
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,System Dynamics,technical dynamical dynamical loops design linear
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Theoretical Metallurgy,gas metallurgical filterplants gas metallic crystals transformations binary iron carbon thermodynamic calculations metallurgical ternary slags steel blast furnace
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Control Technique MB,frequency laplace transformation loops frequency stability linear dynamical nyquist locus design
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Electrical Machines,electrical machines electrical technology engineer machines transformers dc machines synchronous machines machines generator plants grid machines electronics frequency converter asynchronous machines machines calculation machines differential equations networks phasor curves heyland ossana curve synchronous generator
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Interdisciplinary Studies,technical technical
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,NE Casting Materials Lab,melt claening heat alsi
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Non Ferrous Casting Materials,emphases casting casting alloy gases molten metal casting alloy molten metal casting alloy gases molten metal cast
B.Sc. Mechanical Engineering (Casting Engineering)  PO19 - B-MB(GT)-19,Production Technology,production technology optimization production technical quotation design production planning manufacturing production tool production technology simulation means tool technology analyzed
